DateYear,Year,Day,Date,Holiday Name,French Name,Type,Comments
2015-01-01,2015,Thursday,Jan 01,New Year's Day,Jour de l'an,Public Holiday,
2015-04-03,2015,Friday,Apr 03,Good Friday,Vendredi saint,Regional Holiday,Alsace and Moselle
2015-04-06,2015,Monday,Apr 06,Easter Monday,Lundi de Pâques,Public Holiday,
2015-05-01,2015,Friday,May 01,Labour Day,Fête du Travail,Public Holiday,International Workers' Day
2015-05-08,2015,Friday,May 08,V-E Day,La fête de la victoire,Public Holiday,
2015-05-14,2015,Thursday,May 14,Ascension Day,Jour de l'Ascension,Public Holiday,39 days after Easter Sunday
2015-05-25,2015,Monday,May 25,Whit Monday,Lundi de Pentecôte,Public Holiday,7th Monday after Easter
2015-05-31,2015,Sunday,May 31,Mother's Day,Fête des Mères,Not A Public Holiday,Last Sunday in May. Not a public holiday
2015-06-21,2015,Sunday,Jun 21,Father's Day,Fête des Pères,Not A Public Holiday,3rd Sunday in June. Not a public holiday
2015-07-14,2015,Tuesday,Jul 14,Bastille Day,Fête nationale,Public Holiday,French National Day
2015-08-15,2015,Saturday,Aug 15,Assumption Day,Assomption,Public Holiday,
2015-11-01,2015,Sunday,Nov 01,All Saints' Day,La Toussaint,Public Holiday,
2015-11-11,2015,Wednesday,Nov 11,Armistice Day,Jour d'armistice,Public Holiday,
2015-12-25,2015,Friday,Dec 25,Christmas Day,Noël,Public Holiday,
2015-12-26,2015,Saturday,Dec 26,St. Stephen's Day,Deuxième jour de Noël,Regional Holiday,Alsace and Moselle
2016-01-01,2016,Friday,Jan 01,New Year's Day,Jour de l'an,Public Holiday,
2016-03-25,2016,Friday,Mar 25,Good Friday,Vendredi saint,Regional Holiday,Alsace and Moselle
2016-03-28,2016,Monday,Mar 28,Easter Monday,Lundi de Pâques,Public Holiday,
2016-05-01,2016,Sunday,May 01,Labour Day,Fête du Travail,Public Holiday,International Workers' Day
2016-05-05,2016,Thursday,May 05,Ascension Day,Jour de l'Ascension,Public Holiday,39 days after Easter Sunday
2016-05-08,2016,Sunday,May 08,V-E Day,La fête de la victoire,Public Holiday,
2016-05-16,2016,Monday,May 16,Whit Monday,Lundi de Pentecôte,Public Holiday,7th Monday after Easter
2016-05-29,2016,Sunday,May 29,Mother's Day,Fête des Mères,Not A Public Holiday,Last Sunday in May. Not a public holiday
2016-06-19,2016,Sunday,Jun 19,Father's Day,Fête des Pères,Not A Public Holiday,3rd Sunday in June. Not a public holiday
2016-07-14,2016,Thursday,Jul 14,Bastille Day,Fête nationale,Public Holiday,French National Day
2016-08-15,2016,Monday,Aug 15,Assumption Day,Assomption,Public Holiday,
2016-11-01,2016,Tuesday,Nov 01,All Saints' Day,La Toussaint,Public Holiday,
2016-11-11,2016,Friday,Nov 11,Armistice Day,Jour d'armistice,Public Holiday,
2016-12-25,2016,Sunday,Dec 25,Christmas Day,Noël,Public Holiday,
2016-12-26,2016,Monday,Dec 26,St. Stephen's Day,Deuxième jour de Noël,Regional Holiday,Alsace and Moselle
2017-01-01,2017,Sunday,Jan 01,New Year's Day,Jour de l'an,Public Holiday,
2017-01-02,2017,Monday,Jan 02,New Year's Day (in lieu),Jour de l'an,Public Holiday,Public Holiday as New Years Day falls on a Sunday
2017-04-14,2017,Friday,Apr 14,Good Friday,Vendredi saint,Regional Holiday,Alsace and Moselle
2017-04-17,2017,Monday,Apr 17,Easter Monday,Lundi de Pâques,Public Holiday,
2017-05-01,2017,Monday,May 01,Labour Day,Fête du Travail,Public Holiday,International Workers' Day
2017-05-08,2017,Monday,May 08,V-E Day,La fête de la victoire,Public Holiday,
2017-05-25,2017,Thursday,May 25,Ascension Day,Jour de l'Ascension,Public Holiday,39 days after Easter Sunday
2017-05-28,2017,Sunday,May 28,Mother's Day,Fête des Mères,Not A Public Holiday,Last Sunday in May. Not a public holiday
2017-06-05,2017,Monday,Jun 05,Whit Monday,Lundi de Pentecôte,Public Holiday,7th Monday after Easter
2017-06-18,2017,Sunday,Jun 18,Father's Day,Fête des Pères,Not A Public Holiday,3rd Sunday in June. Not a public holiday
2017-07-14,2017,Friday,Jul 14,Bastille Day,Fête nationale,Public Holiday,French National Day
2017-08-15,2017,Tuesday,Aug 15,Assumption Day,Assomption,Public Holiday,
2017-11-01,2017,Wednesday,Nov 01,All Saints' Day,La Toussaint,Public Holiday,
2017-11-11,2017,Saturday,Nov 11,Armistice Day,Jour d'armistice,Public Holiday,
2017-12-25,2017,Monday,Dec 25,Christmas Day,Noël,Public Holiday,
2017-12-26,2017,Tuesday,Dec 26,St. Stephen's Day,Deuxième jour de Noël,Regional Holiday,Alsace and Moselle
2018-01-01,2018,Monday,Jan 01,New Year's Day,Jour de l'an,Public Holiday,
2018-03-30,2018,Friday,Mar 30,Good Friday,Vendredi saint,Regional Holiday,Alsace and Moselle
2018-04-02,2018,Monday,Apr 02,Easter Monday,Lundi de Pâques,Public Holiday,
2018-05-01,2018,Tuesday,May 01,Labour Day,Fête du Travail,Public Holiday,International Workers' Day
2018-05-08,2018,Tuesday,May 08,V-E Day,La fête de la victoire,Public Holiday,
2018-05-10,2018,Thursday,May 10,Ascension Day,Jour de l'Ascension,Public Holiday,39 days after Easter Sunday
2018-05-21,2018,Monday,May 21,Whit Monday,Lundi de Pentecôte,Public Holiday,7th Monday after Easter
2018-05-27,2018,Sunday,May 27,Mother's Day,Fête des Mères,Not A Public Holiday,Last Sunday in May. Not a public holiday
2018-06-17,2018,Sunday,Jun 17,Father's Day,Fête des Pères,Not A Public Holiday,3rd Sunday in June. Not a public holiday
2018-07-14,2018,Saturday,Jul 14,Bastille Day,Fête nationale,Public Holiday,French National Day
2018-08-15,2018,Wednesday,Aug 15,Assumption Day,Assomption,Public Holiday,
2018-11-01,2018,Thursday,Nov 01,All Saints' Day,La Toussaint,Public Holiday,
2018-11-11,2018,Sunday,Nov 11,Armistice Day,Jour d'armistice,Public Holiday,
2018-12-25,2018,Tuesday,Dec 25,Christmas Day,Noël,Public Holiday,
2018-12-26,2018,Wednesday,Dec 26,St. Stephen's Day,Deuxième jour de Noël,Regional Holiday,Alsace and Moselle
2019-01-01,2019,Tuesday,Jan 01,New Year's Day,Jour de l'an,Public Holiday,
2019-04-19,2019,Friday,Apr 19,Good Friday,Vendredi saint,Regional Holiday,Alsace and Moselle
2019-04-22,2019,Monday,Apr 22,Easter Monday,Lundi de Pâques,Public Holiday,
2019-05-01,2019,Wednesday,May 01,Labour Day,Fête du Travail,Public Holiday,International Workers' Day
2019-05-08,2019,Wednesday,May 08,V-E Day,La fête de la victoire,Public Holiday,
2019-05-26,2019,Sunday,May 26,Mother's Day,Fête des Mères,Not A Public Holiday,Last Sunday in May. Not a public holiday
2019-05-30,2019,Thursday,May 30,Ascension Day,Jour de l'Ascension,Public Holiday,39 days after Easter Sunday
2019-06-10,2019,Monday,Jun 10,Whit Monday,Lundi de Pentecôte,Public Holiday,7th Monday after Easter
2019-06-16,2019,Sunday,Jun 16,Father's Day,Fête des Pères,Not A Public Holiday,3rd Sunday in June. Not a public holiday
2019-07-14,2019,Sunday,Jul 14,Bastille Day,Fête nationale,Public Holiday,French National Day
2019-08-15,2019,Thursday,Aug 15,Assumption Day,Assomption,Public Holiday,
2019-11-01,2019,Friday,Nov 01,All Saints' Day,La Toussaint,Public Holiday,
2019-11-11,2019,Monday,Nov 11,Armistice Day,Jour d'armistice,Public Holiday,
2019-12-25,2019,Wednesday,Dec 25,Christmas Day,Noël,Public Holiday,
2019-12-26,2019,Thursday,Dec 26,St. Stephen's Day,Deuxième jour de Noël,Regional Holiday,Alsace and Moselle
2020-01-01,2020,Wednesday,Jan 01,New Year's Day,Jour de l'an,Public Holiday,
2020-04-10,2020,Friday,Apr 10,Good Friday,Vendredi saint,Regional Holiday,Alsace and Moselle
2020-04-13,2020,Monday,Apr 13,Easter Monday,Lundi de Pâques,Public Holiday,
2020-05-01,2020,Friday,May 01,Labour Day,Fête du Travail,Public Holiday,International Workers' Day
2020-05-08,2020,Friday,May 08,V-E Day,Fête de la Victoire,Public Holiday,
2020-05-21,2020,Thursday,May 21,Ascension Day,Jour de l'Ascension,Public Holiday,39 days after Easter Sunday
2020-06-01,2020,Monday,Jun 01,Whit Monday,Lundi de Pentecôte,Public Holiday,7th Monday after Easter
2020-06-07,2020,Sunday,Jun 07,Mother's Day,Fête des Mères,Not A Public Holiday,Last Sunday in May. Not a public holiday
2020-06-21,2020,Sunday,Jun 21,Father's Day,Fête des Pères,Not A Public Holiday,3rd Sunday in June. Not a public holiday
2020-07-14,2020,Tuesday,Jul 14,Bastille Day,Fête Nationale,Public Holiday,French National Day
2020-08-15,2020,Saturday,Aug 15,Assumption Day,Assomption,Public Holiday,
2020-11-01,2020,Sunday,Nov 01,All Saints' Day,Toussaint,Public Holiday,
2020-11-11,2020,Wednesday,Nov 11,Armistice Day,Jour d'armistice,Public Holiday,
2020-12-25,2020,Friday,Dec 25,Christmas Day,Noël,Public Holiday,
2020-12-26,2020,Saturday,Dec 26,St. Stephen's Day,Deuxième jour de Noël,Regional Holiday,Alsace and Moselle
